,category,links,master category,master links
0,Apple Bars,/recipes/15375/desserts/cookies/bar-cookies/apple-bars/,Bar Cookies,/recipes/836/desserts/cookies/bar-cookies/
1,Cheesecake Bars,/recipes/17200/desserts/cookies/bar-cookies/cheesecake-bars/,Bar Cookies,/recipes/836/desserts/cookies/bar-cookies/
2,Crispy Rice Treats,/recipes/17667/desserts/cookies/bar-cookies/crispy-rice-treats/,Bar Cookies,/recipes/836/desserts/cookies/bar-cookies/
3,Date Bars,/recipes/16850/desserts/cookies/bar-cookies/date-bars/,Bar Cookies,/recipes/836/desserts/cookies/bar-cookies/
4,Lemon Bars,/recipes/1995/desserts/cookies/bar-cookies/lemon-bars/,Bar Cookies,/recipes/836/desserts/cookies/bar-cookies/
5,Raspberry Bars,/recipes/15376/desserts/cookies/bar-cookies/raspberry/,Bar Cookies,/recipes/836/desserts/cookies/bar-cookies/
6,Blondies,/recipes/2754/desserts/cookies/brownies/blondies/,Bar Cookies,/recipes/836/desserts/cookies/bar-cookies/
7,Brownies,/recipes/838/desserts/cookies/brownies/,Bar Cookies,/recipes/836/desserts/cookies/bar-cookies/
8,Pumpkin Bars,/recipes/16400/desserts/cakes/pumpkin-cake/pumpkin-bars/,Bar Cookies,/recipes/836/desserts/cookies/bar-cookies/
18,Apple Cookies,/recipes/13352/desserts/cookies/fruit-cookies/apple/,Fruit Cookies,/recipes/847/desserts/cookies/fruit-cookies/
19,Apricot Cookies,/recipes/17522/desserts/cookies/fruit-cookies/apricot/,Fruit Cookies,/recipes/847/desserts/cookies/fruit-cookies/
20,Banana Cookies,/recipes/13353/desserts/cookies/fruit-cookies/banana/,Fruit Cookies,/recipes/847/desserts/cookies/fruit-cookies/
21,Blueberry Cookies,/recipes/13361/desserts/cookies/fruit-cookies/blueberry/,Fruit Cookies,/recipes/847/desserts/cookies/fruit-cookies/
22,Cherry Cookies,/recipes/13354/desserts/cookies/fruit-cookies/cherry/,Fruit Cookies,/recipes/847/desserts/cookies/fruit-cookies/
23,Coconut Cookies,/recipes/13345/desserts/cookies/fruit-cookies/coconut/,Fruit Cookies,/recipes/847/desserts/cookies/fruit-cookies/
24,Cranberry Cookies,/recipes/13355/desserts/cookies/fruit-cookies/cranberry/,Fruit Cookies,/recipes/847/desserts/cookies/fruit-cookies/
25,Date Cookies,/recipes/13356/desserts/cookies/fruit-cookies/date/,Fruit Cookies,/recipes/847/desserts/cookies/fruit-cookies/
26,Lemon Cookies,/recipes/13357/desserts/cookies/fruit-cookies/lemon/,Fruit Cookies,/recipes/847/desserts/cookies/fruit-cookies/
27,Orange Cookies,/recipes/13358/desserts/cookies/fruit-cookies/orange/,Fruit Cookies,/recipes/847/desserts/cookies/fruit-cookies/
28,Pineapple Cookies,/recipes/13359/desserts/cookies/fruit-cookies/pineapple/,Fruit Cookies,/recipes/847/desserts/cookies/fruit-cookies/
29,Raisin Cookies,/recipes/17523/desserts/cookies/fruit-cookies/raisin/,Fruit Cookies,/recipes/847/desserts/cookies/fruit-cookies/
30,Raspberry Cookies,/recipes/17521/desserts/cookies/fruit-cookies/raspberry/,Fruit Cookies,/recipes/847/desserts/cookies/fruit-cookies/
31,Strawberry Cookies,/recipes/13360/desserts/cookies/fruit-cookies/strawberry/,Fruit Cookies,/recipes/847/desserts/cookies/fruit-cookies/
46,American Cookies,/recipes/14692/desserts/cookies/international-cookies/american-cookies/,International Cookies,/recipes/845/desserts/cookies/international-cookies/
47,Asian Cookies,/recipes/14697/desserts/cookies/international-cookies/asian-cookies/,International Cookies,/recipes/845/desserts/cookies/international-cookies/
48,Australian Cookies,/recipes/14696/desserts/cookies/international-cookies/australian-cookies/,International Cookies,/recipes/845/desserts/cookies/international-cookies/
49,Austrian Cookies,/recipes/14708/desserts/cookies/international-cookies/austria/,International Cookies,/recipes/845/desserts/cookies/international-cookies/
50,Canadian Cookies,/recipes/14693/desserts/cookies/international-cookies/canadian-cookies/,International Cookies,/recipes/845/desserts/cookies/international-cookies/
51,Czech Cookies,/recipes/14698/desserts/cookies/international-cookies/czech-republic/,International Cookies,/recipes/845/desserts/cookies/international-cookies/
52,Dutch Cookies,/recipes/14711/desserts/cookies/international-cookies/netherlands/,International Cookies,/recipes/845/desserts/cookies/international-cookies/
53,English Cookies,/recipes/14702/desserts/cookies/international-cookies/england/,International Cookies,/recipes/845/desserts/cookies/international-cookies/
54,French Cookies,/recipes/14709/desserts/cookies/international-cookies/france/,International Cookies,/recipes/845/desserts/cookies/international-cookies/
55,German Cookies,/recipes/14710/desserts/cookies/international-cookies/germany/,International Cookies,/recipes/845/desserts/cookies/international-cookies/
56,Greek Cookies,/recipes/14706/desserts/cookies/international-cookies/greece/,International Cookies,/recipes/845/desserts/cookies/international-cookies/
57,Irish Cookies,/recipes/14703/desserts/cookies/international-cookies/ireland/,International Cookies,/recipes/845/desserts/cookies/international-cookies/
58,Italian Cookies,/recipes/14707/desserts/cookies/international-cookies/italy/,International Cookies,/recipes/845/desserts/cookies/international-cookies/
59,Mexican Cookies,/recipes/14695/desserts/cookies/international-cookies/mexican-cookies/,International Cookies,/recipes/845/desserts/cookies/international-cookies/
60,Norwegian Cookies,/recipes/14700/desserts/cookies/international-cookies/norway/,International Cookies,/recipes/845/desserts/cookies/international-cookies/
61,Polish Cookies,/recipes/14699/desserts/cookies/international-cookies/poland/,International Cookies,/recipes/845/desserts/cookies/international-cookies/
62,Scottish Cookies,/recipes/14704/desserts/cookies/international-cookies/scotland/,International Cookies,/recipes/845/desserts/cookies/international-cookies/
63,Swedish Cookies,/recipes/14701/desserts/cookies/international-cookies/sweden/,International Cookies,/recipes/845/desserts/cookies/international-cookies/
64,Welsh Cookies,/recipes/14705/desserts/cookies/international-cookies/wales/,International Cookies,/recipes/845/desserts/cookies/international-cookies/
84,Cookie Icing and Frosting,/recipes/842/desserts/frostings-and-icings/cookie-frosting/,Cut-Out Cookies,/recipes/844/desserts/cookies/cut-out-cookies/
85,Sugar Cookies,/recipes/859/desserts/cookies/sugar-cookies/,Cut-Out Cookies,/recipes/844/desserts/cookies/cut-out-cookies/
88,Double Chocolate Chip Cookies,/recipes/17255/desserts/cookies/chocolate-chip-cookies/double-chocolate/,Chocolate Chip Cookies,/recipes/839/desserts/cookies/chocolate-chip-cookies/
